Welsh word,English meaning,Part of speech,Plural
tad-yng-nghyfraith,father-in-law,(gwr.),
tadau-yng-nghyfraith,fathers-in-law,,
tafarn,a pub,(ben.),tafarnau
taflen,a leaflet,(ben.),taflenni
tai,houses,,
taid,a grandfather,(gwr.),
taith,a journey,(ben.),teithiau
tal,tall,,
talu,to pay,,
tan (+ Treiglad Meddal),until,,
tân,a fire,(gwr.),tanau
taro,"to hit, to strike",,
taten,a potato,(ben.),tatws
te,tea,(gwr.),
tebyg,"similar, alike",,
tedi,a teddy bear,(gwr.),tedis
tegan,a toy,(gwr.),teganau
tegell,a kettle,(gwr.),tegelli
tei,a tie,(gwr.),teis
teimlo,to feel,,
teithio,to travel,,
teledu,a television,(gwr.),
tennis,tennis,(gwr.),
teulu,a family,(gwr.),teuluoedd
teuluol,family (e.e. y cartref teuluol – the,,
ti,you,,
tîm,a team,(gwr.),timau
tipyn,"a little, a bit",,
tiwtor,a tutor,(gwr.),tiwtoriaid
tocyn,a ticket,(gwr.),tocynnau
tomato,a tomato,(gwr.),
torri,to break,,
torri lawr,to break down,,
torth,a loaf,(ben.),torthau
tost,toast,(gwr.),
tost,"sick, ill",(ans.),
traed,feet,,
traeth,a beach,(gwr.),traethau
trafod,to discuss,,
tref,a town,(ben.),trefi
trefnu,"to arrange, to organise (bôn:",,
trên,a train,(gwr.),trenau
trio,to try,,
trip,a trip,(gwr.),tripiau
trist,sad,,
tro,a turn,(gwr.),
troed,a foot,(ben.),traed
troi,to turn,,
trwy (+ Treiglad Meddal),through,,
trwyn,a nose,(gwr.),trwynau
trydan,"electricity, electric",(gwr.),
trydydd,third,,
tu allan i/tu fas i,outside,,
tua (+Treiglad Llaes),about,,
tudalen,a page,(ben.),
twp,stupid,,
twym,"warm, hot",,
tŷ,a house,(gwr.),tai
tŷ bach,a toilet,,
tŷ bwyta,a restaurant,,
tyfu,to grow,,
tymor,"a season, a term",(gwr.),
tymhorau,"seasons, terms",,
tynnu,to pull,,
tynnu llun,to take a picture,,
tywydd,weather,(gwr.),
theatr,theatre,(ben.),
theatrau,theatres,,
ugain,twenty,,ugeiniau
uned,a unit,(ben.),unedau
unman,nowhere,,
